codigoPedido,codigoCliente,nitRestaurante,cantidad,hora;
20421,National Hualien Teachers College,Dimocritus University of Thrace,3663484424,kkilliner0;
3109,La Salle University,Fachhochschule Kufstein (Tirol),9038444036,kphillippo1;
75551,Rensselaer Polytechnic Institute,Showa Women's University,4312690928,enusche2;
"80339,Fachhochschule Niederrhein,""Dubna International University for Nature, Society and Man"",7200425796,bjeckells3";
"V032,Charles Darwin University,""Bahauddin Zakariya University, Multan"",0842015558,knelthorp4";
79311,National Taiwan Normal University,Iranian Academy of Persian Language and Literature,7242580412,dbeneix5;
01501,Oslo School of Architecture,Southwest Agricultural University,5761867753,gnoweak6;
4466,The Petroleum Institute,Institute of Management Development - Ohrid,4710507724,csmye7;
"71933,Southeastern Louisiana University,""University of Maine, Augusta"",2029470902,tshillabeare8";
"20224,""Free University """"Maria Santissima Assunta"""""",Universitas Darma Persada,6696599444,kmcconachie9";
E8736,Technical University of Iasi,Shandong University of Art and Design,4552640054,aneasama;
99976,Universidad del Valle del Cauca,Thapar Institute of Engineering and Technology,3179708336,eairetonb;
5279,PTPL College,Aarhus School of Architecture,3215206986,wraulinc;
V1362,Capitol University,Universidad de Salamanca,6752441286,tskeeted;
4291,Saxion Universities ,University of Mary Hardin-Baylor,8303325086,bconfaite;
E9229,Astrahan State Medical Academy,Nagoya University of Commerce and Business Administration,9668690540,dstotef;
7337,Reinhardt College,Crawford University ,7447029246,vsedgeworthg;
E9557,Aichi Shukutoku University,Marij State University,6309834517,dmarrillh;
4255,Karnataka State Law University,Sang Ji University,6696571493,spechi;
86402,Campus Bio-Medico University of Rome,Bryn Athyn College of the New Church,5713019942,rarthurj;
"78861,Montserrat College of Art,""Islamic Azad University, Majlesi"",2889906515,ecompfortk";
"E0162,""Institute of Teachers Education, Darul Aman"",William Carey College,4402323096,crosenfelderl";
9795,Fresno Pacific University,Vidzeme University College,2631713079,sissacsonm;
81311,Lampang Rajabhat University,Northwest University,9803653873,jneathwayn;
9756,Universidad Católica Argentina Santa Maria de los Buenos Aires,National Open University,9398432056,ncurpheyo;
9738,Dokkyo University,FAE Business School - Faculdade de Administração e Economia,8513451215,cpankettmanp;
9137,Hochschule Mittweida (FH),Open University of Hong Kong,4713368032,gsouthq;
V392,Matej Bel University in Banská Bystrica,University of Northeastern Philippines,8890588934,bmowner;
20963,Wolkite University,Satakunta University Of Applied Scinces,1284490734,hbeynes;
7611,Nanchang University,Ecole Nationale Supérieure des Mines de Paris,1065554532,pschechtert;
6949,Universidad Privada Los Andes,Universiteit Antwerpen Management School,5996468484,lswinnertonu;
"72631,Universidade Federal Rural de Pernambuco,""Moscow State University of Economics, Statistics and Informatics"",4321549043,rchienev";
51632,Veer Kunwar Singh University,Illinois State University,4467422471,afeaksw;
"E8169,University of Zenica,""Institute of Teachers Education, Penang"",7273782742,nwartonbyx";
9268,Texas A&M University - Galveston,Universidad de Matanzas Camilo Cienfuegos,7728855964,hdilaweyy;
94213,University of Oslo,Gulf University for Science and Technology,1725810352,mshardlowz;
94896,St. Luke' s College of Nursing,Sri Lanka Institute of Advanced Technical Education,8445191896,baskham10;
V662,Universidad Nacional del Nordeste,Sage Graduate School,4248146010,ipettiford11;
59800,The Queen's University Belfast,University of the South Pacific,8336243577,cdriffill12;
37313,University of the Faroe Islands,University of Illinois at Springfield,0460448285,jdyas13;
V695,University of Mary,Universidad de Morón,7043100321,trraundl14;
2441,Rollins College,Politeknik Negeri Semarang,9574684369,thaggath15;
80323,Universidad de La Salle,Université de Technologie de Compiègne,1608387097,swhitfield16;
2121,Toyota Technological Institute,Wesleyan College,2361288028,bpahl17;
V149,Technische Universität Dresden,Sanford-Brown Institute,6492261364,mnyssens18;
E0151,University of Peshawar,Technical University of Czestochowa,6892700802,vsommerscales19;
66554,Mahasarakham University,Azerbaijan University ol Languages,9796189216,ewhacket1a;
"E8661,Ukrainian National Forestry University,""Universidad Centroamericana """"José Simeón Canas"""""",9649269347,tisoldi1b";
38604,Aarhus University,University of Minnesota - Duluth,1118613651,gjoron1c;
E8789,Dow University of Health Sciences,University of North Florida,7598615179,cnaylor1d;
V454,Gebze Institute of Technology,Devi Ahilya University of Indore,1593435940,mbailey1e;
E0179,Lviv Medical University,Universidad de Viña del Mar,8872599210,spyffe1f;
81406,Tokuyama University,The Juilliard School,6014022597,pcholton1g;
94420,St. George's University,University of Dongola,6085457723,fogrogane1h;
09940,Universidad de Cantabria,Universidad Tecnológica América,8621130963,ilunnon1i;
38509,South Carolina State University,Yasuda Women's University,3419364660,bough1j;
V4581,Universidad Tecnológica Nacional,College of Education Ikere,2631472179,ogoldfinch1k;
4732,Bashkir State Agrarian University,Warsaw School of Economics,8369507387,jmaling1l;
74860,Göteborg University,Institut des Sciences de l'Ingénieur de Montpellier,0189022523,mfarloe1m;
E8008,Okinawa University,College of St. Joseph,0706377818,cgroom1n;
2646,Shawnee Community College,College of Notre Dame of Maryland,8837194900,cflippini1o;
36202,Nicholls State University,Vilnius Academy of Arts,1858182174,efieldstone1p;
E8704,Kumamoto University,Escuela Colombiana de Carreras Industriales,8366652858,gthickens1q;
01715,Zayed University,Universitas Airlangga,4131626292,cbernt1r;
20282,University of International Business and Economics,Hochschule Magdeburg-Stendal (FH),3214448811,ngrzesiewicz1s;
V791,Thomas College Maine,Emporia State University,1991750536,msteane1t;
29571,Molde University College,Florida University of Medicine,8775078112,cprofit1u;
V167,Gotland University College,Shanghai Customs College,9691697491,csuggate1v;
"71950,""Fachhochschule Kempten, Hochschule für Technik und Wirtschaft"",Ahsanullah University of Science & Technology,5443333968,csawkin1w";
3014,Florida International University,Arab Open University,8513400149,hgwillyam1x;
05410,Paichai University,Portland State University,7574143706,bpriel1y;
V1062,University of Agriculture and Veterinary Medicine Iasi,Dalian Martime University,7047418008,rcrace1z;
"29420,""Benedictine University, Springfield College in Illinois"",Periyar University,7928374900,ppopelay20";
01784,Shonan Institute of Technology,Gomel State Medical University,7588508256,obusek21;
E8104,Universitas Semarang,Sabanci University,1440209286,phawney22;
7768,Palm Beach Atlantic University,Pädagogische Hochschule Erfurt/Mühlhausen,7366371440,bmoreland23;
67684,Polish-Japanese Institute of Information Technology in Warsaw,Mekelle University,9936072553,jritmeier24;
56986,Nara University of Education,Manhattan School of Music,3371417549,rlamprecht25;
E989,Karunya Institute Of Technology ( Deemed University),Louisiana State University Health Sciences Center New Orleans,3059345481,ytynnan26;
84519,Universidad Politécnica Salesiana,Alcorn State University,6287609753,swaggitt27;
3899,Universitas Advent Indonesia,Latvian Academy of Arts,5118615909,mbradnam28;
"85162,""Institute of Teachers Education, Sarawak"",Türkisch-Deutsche Universität,6586595665,jroan29";
5855,Kyushu Women's University,Elrazi College Of Medical & Technological Sciences,3237864897,vhobgen2a;
01893,Middle East University,Virginia College,5932843209,aaicken2b;
0625,Fine Arts Academy in Katowice,Lyndon State College,6073542941,bchoffin2c;
29564,Banat's University of Agricultural Sciences,Iowa State University of Science and Technology,9553288332,jtrubshaw2d;
74924,University of Nebraska - Lincoln,Universidad Autónoma de Las Américas,6299990783,aespinoy2e;
071,Spelman College,St. Petersburg State University,7830513341,echarnock2f;
52550,Katholisch-Theologische Privatuniversität Linz,Universidad Panamericana,9508966378,ttofanelli2g;
9534,Danish University of Education,Cleveland Institute of Art,7347426243,twaudby2h;
80134,University of Information Technology and Management in Rzeszow,Huazhong University of Science and Technology,2242047183,tprandoni2i;
72081,Kent State University - Salem,Polonia University in Czêstochowa,5857774896,gcornish2j;
65690,University Institute of Oriental Studies,Kuwait Maastricht Business School,5679588250,jhuc2k;
V426,Duke University,Imam Reza University,4070118985,cheld2l;
3885,Columbus University,Stonehill College,8010411434,searney2m;
42741,Excel College,Osaka Dental University,6921589021,gblainey2n;
"82381,""Teachers College, Columbia University"",""University of California, Riverside"",2638042560,bmabey2o";
66113,Osaka Electro-Communication University,Utkal University,3668245282,jungerer2p;
80132,Emory & Henry College,Kazan State University of Technology,8873042376,otafani2q;
63581,City University of New York Medical School / Sophie Davis School of Biomedical Education,Communication University of China,9388987284,bemmison2r;
78909,Universidad Nacional de La Matanza,Gombe State University,2170244662,edjurisic2s;
82533,Asia University,Universidad Nacional de Ucayali,4792039622,tmottini2t;
74352,Bauhaus Universität Weimar,Universidad Nacional Hermilio Valdizan,8251415349,ksugar2u;
